"Variable","SD","Schiefe","Kurtosis","Shapiro_W","Shapiro_p","N","Dataset"
"MN",0.59,0.23,-1.34,0.936,0.442,12,"Datensatz.csv"
"VS",1.03,0.07,-1.16,0.937,0.462,12,"Datensatz.csv"
"EA",0.99,0.24,-1.09,0.935,0.432,12,"Datensatz.csv"
"ID",0.99,-0.22,-0.79,0.94,0.496,12,"Datensatz.csv"
"KI01",0.27,0.19,0.22,0.939,0.487,12,"Datensatz.csv"
"KI02",0.65,-1.49,3.13,0.864,0.0548,12,"Datensatz.csv"
"MN",0.65,-0.37,1.51,0.961,0.000508,141,"Datensatz_neu.csv"
"VS",0.64,0.16,1.41,0.972,0.0069,137,"Datensatz_neu.csv"
"EA",0.7,-0.3,0.1,0.984,0.101,136,"Datensatz_neu.csv"
"ID",0.79,0.01,-0.17,0.987,0.231,136,"Datensatz_neu.csv"
"KI01",1.52,-0.02,-1.8,0.825,3.09e-11,132,"Datensatz_neu.csv"
"KI02",0.92,0,-1.93,0.763,2.51e-13,132,"Datensatz_neu.csv"
