"Target","Predictor","Estimate","Std_Error","t_value","p_value","significance"
"MN","(Intercept)",3.2418,0.9579,3.3841,0.000927,"***"
"MN","SE01",-0.0214,0.0918,-0.2327,0.816321,""
"MN","SE02",-0.0178,0.1375,-0.1295,0.897137,""
"MN","SO01",0.0413,0.091,0.4538,0.650711,""
"MN","SO02",-0.016,0.1299,-0.1232,0.902115,""
"VS","(Intercept)",3.077,1.0743,2.8641,0.004826,"**"
"VS","SE01",0.0362,0.1029,0.3517,0.725574,""
"VS","SE02",0.1753,0.1542,1.1368,0.257574,""
"VS","SO01",0.0332,0.1021,0.3252,0.74554,""
"VS","SO02",-0.1266,0.1457,-0.8688,0.386433,""
"EA","(Intercept)",3.3887,0.9073,3.7349,0.000273,"***"
"EA","SE01",-0.0544,0.0869,-0.6265,0.532023,""
"EA","SE02",-0.1014,0.1302,-0.779,0.437324,""
"EA","SO01",-0.1314,0.0862,-1.5246,0.12962,""
"EA","SO02",0.207,0.1231,1.682,0.094803,""
"ID","(Intercept)",4.576,0.7187,6.3667,0,"***"
"ID","SE01",0.0563,0.0688,0.8185,0.41446,""
"ID","SE02",-0.1036,0.1032,-1.0044,0.316928,""
"ID","SO01",-0.0051,0.0683,-0.0747,0.940584,""
"ID","SO02",-0.1248,0.0975,-1.2801,0.202641,""
